Arabic, عربى
All,الكل
Add New Address, إضافة عنوان جديد
Delivery, توصيل
100% Secure, آمنة 100 ٪
If you have an account, إذا كان لديك حساب
sign in with your email address, سجل الدخول باستخدام عنوان بريدك الإلكتروني.
Marketplace Product List, قائمة منتجات السوق
Account Dashboard, لوحة حساب
Move to Wishlist, الانتقال إلى قائمة الرغبات
Product List, قائمة المنتجات
Change Password, تغيير كلمة السر
Manage Addresses, إدارة العناوين
Recent Orders, الطلبيات الأخيرة
View All, عرض الكل
Reorder, إعادة ترتيب
Marketplace Edit Seller Profile, Marketplace تحرير ملف تعريف البائع
Transactions, المعاملات
Remaining Transactions:, المعاملات المتبقية:
Transaction Id, معرف المعاملة
Search by Transaction Id, البحث عن طريق معرف المعاملة
Search by Order Id, البحث حسب معرف الطلب
Download .CSV, تنزيل .CSV
No Transaction Available, لا توجد صفقة متاحة
Order Status, حالة الطلب
Customer: , العملاء:
Date: , تاريخ:
Next, التالى
Default Addresses, العناوين الافتراضية
Change Billing Address, تغيير عنوان الفواتير
Change Shipping Address, تغيير عنوان الشحن
Additional Address Entries, إدخالات العناوين الإضافية
Delete Address, حذف العنوان
Save, حفظ
Subscription option, خيار الاشتراك
General Subscription, الاشتراك العام
Newsletter Subscription, الاشتراك في النشرة الإخبارية
COMPLETE , اكتمال
Order Total- , الطلب الكلي-
From:, من عند:
To:, إلى:
Delete Products, حذف المنتجات
My Account,حسابي
Add Address, اضف عنوان
my account,حسابي
View Order, مشاهدة الطلب
Marketplace Dashboard, لوحة تحكم السوق
Seller Profile, ملف البائع
My Products List, قائمة منتجاتي
Download All Invoice Slip, تحميل كل فاتورة زلة
Download All Shipping Slip, تحميل جميع الشحن الانزلاق 
My Transaction List, قائمة المعاملات الخاصة بي
Transaction List, قائمة المعاملات
My Order History, سجل طلبي
My Wish List, قائمة امنياتي
Search by product name, البحث عن طريق اسم المنتج
Product Status, حالة المنتج
Qty. Confirmed, الكمية. تم تأكيد
Confirmed, تم تأكيد
Qty. Pending, الكمية. قيد الانتظار
Qty. Sold, الكمية. تم البيع
Earn Amount, كسب المبلغ
virtual, افتراضية
Approved, وافق
Contact Information, معلومات الاتصال
Newsletters, النشرات الإخبارية
Ship To, سافر على متن سفينة ل
Shipping Address, عنوان الشحن
Shipping Method, طريقة الشحن
Replacements, الاستبدال
Item in Cart, البند في السلة
Register, تسجيل
Groceries, محلات البقالة
FAQ, التعليمات
Scan and Go, المسح والذهاب
About Us, معلومات عنا
Recent Feedbacks, الاحصائيات الاخيرة
Privacy Policy, سياسة الخصوصية
Select store in, اختر المتجر
Copyright © 2018, حقوق الطبع والنشر © 2018
Log in, تسجيل الدخول
Gender, الجنس
Category, الفئة
Checkout using your account, الخروج باستخدام حسابك
Checkout as a new customer, الخروج كعميل جديد
Creating an account has many benefits:, إنشاء حساب له العديد من الفوائد:
Cart, عربة التسوق
Filter, منقي
Quality, جودة
Quick View, نظرة سريعة
Average Rating, متوسط تقييم
ctownsupermarket 's Rating, تصنيف ctownsupermarket
Search this store..., ابحث في هذا المتجر ...
How it Works, كيف تعمل
Choose Location, اختيار موقع التوصيل 
Select the city, اختر المدينة
and zone you, ومنطقة
wish to shop from, ترغب التسوق به
Shop Multiple Stores, تسوق من متاجر متعددة
Choose items,تسوق و اختار المنتجات
from all the stores,  من جميع المتاجر
to add to your,وإضفها إلى
shopping cart, عربة التسوق
Recieve in One Package, تلقي التوصيل في حزمة واحدة 
Get all the items delivered to your doorsteps in a single package, توصيل المنتجات من جميع المتاجر في عبوة واحدة
Download Our App, قم بتحميل التطبيق
Scappery Partners,المتاجر و شركاء سكابري
Select Store, اختر المتجر
OR, أو
Checkout as a new customer, الخروج كعميل جديد
See order and shipping status, انظر النظام وحالة الشحن
Track order history, تتبع سجل الطلبات
Check out faster, تحقق من أسرع
Continue, استمر
Amman, عمان
Khalda, خلدا
Pharmacy, مقابل
Books  Art & Entertainment, كتب وفنون وترفيه
Men's Fashion, أزياء رجالية
Women's Fashion, على الموضة للنساء
Jewelry & Watches, المجوهرات والساعات
Health & Beauty, الصحة والجمال
Sporting Goods, بضائع رياضيه
Kids & Babies, الاطفال والرضع
Home & Living, المعيشة المنزلية
Electronics & Appliances, إلكترونيات وأجهزة منزلية
Plants & Flowers, النباتات والزهور
Eyewear & optics, نظارات وبصريات
Garden & Hardware, مستلزمات الحدائق
Toy & Games, لعبة وألعاب
Charity, الاعمال الخيرية
HyperMarket & Grocery, هايبرماركت وبقالة
Bakeries & Desserts, مخابز وحلويات
Books  Art & Entertainment, كتب وفنون وترفيه
Fast food & Dining , الوجبات السريعة والطعام
From Stores you Already,من متاجركم المفضلة 
Shop at,و الذي تتسوقونا منهم
You are Shopping in, أنت تسوق في
From Stores you Already Shop at,من متاجركم المفضلة و الذي تتسوقونا منهم
None,لا شئ
Allowed Scopes,النطاقات المسموح بها
"More permissions are needed to delete the ""%1"" item.","تحتاج إلى مزيد من الصلاحيات لحذف العنصر ""%1""."
You need more permissions to apply some of the rule updates.,تحتاج إلى مزيد من الصلاحيات لتطبيق بعض تحديثات القاعدة.
This entity needs to be assigned to a store view. Verify the entity assignment and try again.,This entity needs to be assigned to a store view. Verify the entity assignment and try again.
Orders can only be completed in an active store. Verify the store and try again.,Orders can only be completed in an active store. Verify the store and try again.
This item needs to be assigned to a store view. Assign item and try again.,This item needs to be assigned to a store view. Assign item and try again.
More permissions are needed to save this item.,More permissions are needed to save this item.
More permissions are needed to delete this item.,More permissions are needed to delete this item.
More permissions are needed to view this item.,More permissions are needed to view this item.
At least one website or store group needs to be selected. Select and try again.,At least one website or store group needs to be selected. Select and try again.
More permissions are needed to set All Scopes to a Role.,More permissions are needed to set All Scopes to a Role.
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again."
