Abdali, العبدلي
Amman West, عمان الغربية
Khalda, خلدا
select store in, اختيار المتجر في
Amman West, عمان الغربية
Khalda, خلدا 
Tla' Ali,  تلاع العلي
Um El Summaq,  ام السماق
Al Gardens,  الجاردينز
Al Rabiah, الرابيه
Hay Al Khaledeen, حي الخالدين
Daheit Al Rasheed, ضاحية الرشيد
Hay Al Barakeh,  حي البركة
Hay Al Khaldeen,  حي الخالدين
Hay Al Saleheen, حي الصالحين 
Jubaiha,  الجبيهة
Jordan University Street,  شارع الجامعة الاردنية
mecca street,  شارع مكة
medina street, شارع المدينة
Dabouq,  دابوق 
Dabouq- Baccalaureate,  دابوق - البكالوريا
Dabouq-Ferdous,  دابوق - الفردوس 
Airport Road -Manaseer Gas, طريق المطار- المناصير-
Airport Road-Nakheel Village, طريق المطار- قرية النخيل-
Al Bayader, البيادر
Al Jandaweel, الجنداويل
Al Kursi, الكرسي
Al Rawabi, الروابي
Al Rawnaq, الرونق
Al Sahl, السهل
Al Sina'a, الصناعة
King Hussein Business Park, مدينة الحسين للاعمال
Marj El Hamam, مرج الحمام
Swefieh, الصويفية
Um Uthaiena, ام اثينة
Mecca Street, شارع مكة
Medina Street, شارع المدينة
Abdun Al Shamali, عبدون الشمالي
Abdali, العبدلي
Abdoun, عبدون
Dahiet Al Hussain, ضاحية الحسين
Deir Ghbar, دير غبار
Jabal Al Weibdeh, جبل الويبدة
Jabal Amman, جبل عمان
Shmaisani, شميساني
Wadi Saqra, وادي صقرة
Wadi El Seer, وادي السير
Sports City, المدينة الرياضية
LOGOUT, الخروج
You are Shopping in, أنت تتسوق في
Go back to the previous page., عد للصفحة السابقة.
Use the search bar at the top of the page to search for your products., استخدم شريط البحث في أعلى الصفحة للبحث عن منتجاتك.
Follow these links to get you back on track!, اتبع هذه الروابط لتحصل على العودة إلى المسار الصحيح!
Store Home, مخزن البيت
You have no items in your shopping cart.,لا يوجد لديك عناصر في سلة التسوق الخاصة بك.
Find 1000s of Products," اعثور على 1,000s من المنتجات"
email, البريد الالكتروني
password, كلمة السر
sign in,  تسجيل دخول 
forget your password, نسيت كلمة السر ؟
or, او
sign in with facebook, تسجيل دخول عبر فيسبوك 
no account yet,  لا يوجد لديك حساب بعد
create an account, إنشاء حساب
Required fields,  الحقول المطلوبة
Secure log in,  تسجيل دخول امن
Quick sign up,  تسجيل سريع
How scappery work,  كيف يعمل سكابري
choose location, اختر موقعك
select city zone you wish to get delivery,  اختر المنطقة التي ترغب بايصال طلباتك اليها 
shop multiple stores,  اختر متاجرك 
choose items from all the stores to add to cart,  اختر احتياجاتك من متاجرنا المختلفة و قم بإضافتها الى عربة التسوق الخاصة بك
receive in one package,  استلم طلبك في طرد واحد 
get all the items delivered to your doorsteps in a single package, جميع احتياجاتك ستصلك الى منزلك في طرد واحد
Contact us,  اتصل بنا 
Terms and conditions,  الاحكام و الشروط
Privacy policy,  سياسة الخصوصية 
Follow us,  تابعنا
our partners,  شركاؤنا 
download our app,   تحميل التطبيق
find 1000s of products from stores you already shop at,  الاف المنتجات التي ترغب بها من متاجرك المفضلة الان في موقع واحد
my account, حسابي
log out,  تسجيل خروج
accunt dashboard,  المعلومات الخاصة بي
my order,  طلبي
my wish list, قائمة امنياتي
address book,  العنوان
account informaotion,  معلومات الحساب 
newsletter subscription,  النشرات الاخبارية 
contact information,  معلومات الاتصال
default shipping address,  عنوان الشحن 
log in success, تسجيل دخول ناجح
edit, تعديل 
